Hour,Plate,DF,Spot_1,Spot_2,Spot_3,Volume,CFU_ml,log_CFU_ml
0,1,-6,19,15,23,0.01,1900000000,9.278753601
0,1,-7,3,2,3,0.01,2666666667,9.425968732
0,1,-6,31,17,25,0.01,2433333333,9.386201605
0,1,-7,7,4,6,0.01,5666666667,9.753327667
0,2,-6,23,18,14,0.01,1833333333,9.263241435
0,2,-7,6,2,3,0.01,3666666667,9.56427143
0,2,-6,26,21,21,0.01,2266666667,9.355387658
0,2,-7,4,4,3,0.01,3666666667,9.56427143
0,2,-6,14,27,32,0.01,2433333333,9.386201605
0,2,-7,8,7,3,0.01,6000000000,9.77815125
2,1,-4,18,16,17,0.01,17000000,7.230448921
2,1,-5,1,2,3,0.01,15000000,7.176091259
2,1,-4,6,17,19,0.01,14000000,7.146128036
2,1,-5,0,5,1,0.01,20000000,7.301029996
2,2,-4,17,20,21,0.01,19333333.33,7.286306739
2,2,-5,2,4,4,0.01,33333333.33,7.522878745
2,2,-4,24,31,26,0.01,27000000,7.431363764
2,2,-5,4,2,2,0.01,26666666.67,7.425968732
6,1,-4,0,0,0,0.01,0,0
6,1,-5,0,0,0,0.01,0,0
6,1,-4,0,0,0,0.01,0,0
6,1,-5,0,0,0,0.01,0,0
6,2,-4,0,0,0,0.01,0,0
6,2,-5,0,0,0,0.01,0,0
6,2,-4,0,0,0,0.01,0,0
6,2,-5,0,0,0,0.01,0,0
