Index,Dilution,Spot1,Spot2,Spot3,CFU_ml,Treatment
1,NA,NA,NA,NA,NA,
2,NA,NA,NA,NA,NA,Kan_Chlor
3,NA,NA,NA,NA,NA,Kan_Chlor
4,NA,NA,NA,NA,NA,Kan_Chlor
5,NA,NA,NA,NA,NA,Kan_Chlor
6,NA,NA,NA,NA,NA,Kan_Chlor
7,NA,NA,NA,NA,NA,Kan_Chlor
8,NA,NA,NA,NA,NA,Kan_Chlor
9,NA,NA,NA,NA,NA,Kan_Chlor
10,NA,NA,NA,NA,NA,Kan_Chlor
11,NA,NA,NA,NA,NA,Kan_Chlor
12,NA,NA,NA,NA,NA,Kan_Chlor
13,NA,NA,NA,NA,NA,Kan_Chlor
14,NA,NA,NA,NA,NA,Kan_Chlor
15,0,4,3,4,366.6666667,Kan_Chlor
16,0,5,4,6,500,Kan_Chlor
17,0,33,36,23,3066.666667,Kan_Chlor
18,0,41,43,32,3866.666667,Kan_Chlor
19,0,11,11,13,1166.666667,Kan_Chlor
20,0,18,26,19,2100,Kan_Chlor
21,0,25,22,18,2166.666667,Kan_Chlor
22,0,12,12,6,1000,Kan_Chlor
23,-1,13,9,14,12000,Kan_Chlor
24,0,18,14,21,1766.666667,Kan_Chlor
25,0,11,8,16,1166.666667,Kan_Chlor
26,-1,4,4,6,4666.666667,Kan_Chlor
27,-1,22,6,14,14000,Kan_Chlor
28,-1,8,6,3,5666.666667,Kan_Chlor
29,NA,NA,NA,NA,NA,Kan_Chlor
30,NA,NA,NA,NA,NA,Kan_Chlor
31,NA,NA,NA,NA,NA,Kan_Chlor
32,NA,NA,NA,NA,NA,Kan_Chlor
33,0,4,8,9,700,Kan_Chlor
34,0,9,12,9,1000,Kan_Chlor
35,0,11,12,11,1133.333333,Kan_Chlor
36,0,4,3,3,333.3333333,Kan_Chlor
37,0,29,28,27,2800,Kan_Chlor
38,0,23,19,21,2100,Kan_Chlor
39,0,11,6,8,833.3333333,Kan_Chlor
40,0,24,21,24,2300,Kan_Chlor
41,NA,NA,NA,NA,NA,Kan_Chlor
42,NA,NA,NA,NA,NA,Kan_Chlor
43,NA,NA,NA,NA,NA,Kan_Chlor
44,NA,NA,NA,NA,NA,Kan_Chlor
45,NA,NA,NA,NA,NA,Kan_Chlor
46,-1,25,17,14,18666.66667,Kan_Chlor
47,NA,NA,NA,NA,NA,Kan_Chlor
48,-1,14,15,9,12666.66667,Kan_Chlor
1,NA,NA,NA,NA,NA,Cycloheximide
2,NA,NA,NA,NA,NA,Cycloheximide
3,NA,NA,NA,NA,NA,Cycloheximide
4,NA,NA,NA,NA,NA,Cycloheximide
5,NA,NA,NA,NA,NA,Cycloheximide
6,NA,NA,NA,NA,NA,Cycloheximide
7,NA,NA,NA,NA,NA,Cycloheximide
8,NA,NA,NA,NA,NA,Cycloheximide
9,NA,NA,NA,NA,NA,Cycloheximide
10,NA,NA,NA,NA,NA,Cycloheximide
11,NA,NA,NA,NA,NA,Cycloheximide
12,NA,NA,NA,NA,NA,Cycloheximide
13,0,1,3,2,200,Cycloheximide
14,0,3,6,0,300,Cycloheximide
15,0,5,5,3,433.3333333,Cycloheximide
16,0,7,6,2,500,Cycloheximide
17,0,31,30,29,3000,Cycloheximide
18,0,47,37,42,4200,Cycloheximide
19,0,10,11,4,833.3333333,Cycloheximide
20,0,12,20,11,1433.333333,Cycloheximide
21,0,17,8,16,1366.666667,Cycloheximide
22,0,18,13,16,1566.666667,Cycloheximide
23,-1,20,12,10,14000,Cycloheximide
24,0,10,15,16,1366.666667,Cycloheximide
25,0,23,14,12,1633.333333,Cycloheximide
26,0,25,24,19,2266.666667,Cycloheximide
27,-1,9,12,7,9333.333333,Cycloheximide
28,0,33,34,36,3433.333333,Cycloheximide
29,NA,NA,NA,NA,NA,Cycloheximide
30,NA,NA,NA,NA,NA,Cycloheximide
31,NA,NA,NA,NA,NA,Cycloheximide
32,NA,NA,NA,NA,NA,Cycloheximide
33,0,17,13,14,1466.666667,Cycloheximide
34,0,7,10,7,800,Cycloheximide
35,0,5,14,8,900,Cycloheximide
36,0,4,2,1,233.3333333,Cycloheximide
37,0,33,17,20,2333.333333,Cycloheximide
38,0,15,20,11,1533.333333,Cycloheximide
39,0,11,7,8,866.6666667,Cycloheximide
40,0,32,37,35,3466.666667,Cycloheximide
41,-1,30,28,0,19333.33333,Cycloheximide
42,0,14,6,0,666.6666667,Cycloheximide
43,-1,5,4,5,4666.666667,Cycloheximide
44,-1,18,12,6,12000,Cycloheximide
45,-1,18,23,20,20333.33333,Cycloheximide
46,-1,27,20,15,20666.66667,Cycloheximide
47,-1,11,8,5,8000,Cycloheximide
48,-1,9,10,8,9000,Cycloheximide
