"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,909.083557128906,0
2,"Leach_field",5,1,893.699401855469,0
3,"Leach_field",5,1,1000.50927734375,0
4,"Control",5,1,1040.31164550781,0
5,"Control",5,1,943.849487304687,0
6,"Control",5,1,934.239990234375,0
1,"Leach_field",600,1,1395.03588867188,0
2,"Leach_field",600,1,1298.15771484375,0
3,"Leach_field",600,1,1354.08435058594,0
4,"Control",600,1,1679.00854492188,0
5,"Control",600,1,1526.17553710937,0
6,"Control",600,1,1488.8564453125,0
1,"Leach_field",1200,1,1972.12145996094,0
2,"Leach_field",1200,1,1907.55346679687,0
3,"Leach_field",1200,1,1804.1435546875,0
4,"Control",1200,1,2481.10107421875,0
5,"Control",1200,1,2262.67724609375,0
6,"Control",1200,1,2138.39477539062,0
1,"Leach_field",1800,1,2644.30981445313,0
2,"Leach_field",1800,1,2521.88891601563,0
3,"Leach_field",1800,1,2262.880859375,0
4,"Control",1800,1,3497.78588867188,0
5,"Control",1800,1,3114.70434570312,0
6,"Control",1800,1,3031.06591796875,0
