"","Std_Curve_Num","Intercept","Slope","r_squared"
"1",1,-0.0594467641752672,0.0106763616158503,0.99574433788079
"2",2,-0.0475123259729881,0.00716256730852685,0.997347573330493
"3",1,-0.0699235039927384,0.00784799072728091,0.993976547614574
"4",1,-0.0574159666512274,0.00777036945884593,0.996047093758387
"5",1,-0.151531574949399,0.00810555433020227,0.999955012452349
"6",2,-0.0392972755321623,0.00688011792445601,0.998214608436225
"7",1,-0.193527394355949,0.00883373851084877,0.999815206116626
"8",1,-0.0694531328972059,0.00826907183554793,0.994063536275685
"9",1,-0.0476738298705038,0.0076631476510918,0.997328645419563
"10",1,-0.0738153999512462,0.00862911477851652,0.99322827553067
"11",1,-0.132174517417085,0.00817279457205256,0.998775552217769
"12",1,-0.0642247352122888,0.007442558307982,0.99498163397019
