,Date,Homeowner,Gas,Chamber,Treatment,Mass_flux_linear
1,20150630,laurie,CH4,1,Leach_field,NA
2,20150630,laurie,CH4,2,Leach_field,NA
3,20150630,laurie,CH4,3,Leach_field,NA
4,20150630,laurie,CH4,4,Control,NA
5,20150630,laurie,CH4,5,Control,NA
6,20150630,laurie,CH4,6,Control,NA
7,20150630,laurie,CO2,1,Leach_field,NA
8,20150630,laurie,CO2,2,Leach_field,NA
9,20150630,laurie,CO2,3,Leach_field,NA
10,20150630,laurie,CO2,4,Control,NA
11,20150630,laurie,CO2,5,Control,NA
12,20150630,laurie,CO2,6,Control,NA
13,20150630,laurie,N2O,1,Leach_field,0.081525498
14,20150630,laurie,N2O,2,Leach_field,0.082359802
15,20150630,laurie,N2O,3,Leach_field,0.055846224
16,20150630,laurie,N2O,4,Control,0.008618098
17,20150630,laurie,N2O,5,Control,-0.007010075
18,20150630,laurie,N2O,6,Control,0.027767245
19,20150714,laurie,CH4,1,Leach_field,NA
20,20150714,laurie,CH4,2,Leach_field,NA
21,20150714,laurie,CH4,3,Leach_field,NA
22,20150714,laurie,CH4,4,Control,NA
23,20150714,laurie,CH4,5,Control,NA
24,20150714,laurie,CH4,6,Control,NA
25,20150714,laurie,CO2,1,Leach_field,NA
26,20150714,laurie,CO2,2,Leach_field,NA
27,20150714,laurie,CO2,3,Leach_field,NA
28,20150714,laurie,CO2,4,Control,NA
29,20150714,laurie,CO2,5,Control,NA
30,20150714,laurie,CO2,6,Control,NA
31,20150714,laurie,N2O,1,Leach_field,0.05135414
32,20150714,laurie,N2O,2,Leach_field,0.040485782
33,20150714,laurie,N2O,3,Leach_field,0.041448518
34,20150714,laurie,N2O,4,Control,0.012725152
35,20150714,laurie,N2O,5,Control,0.037170307
36,20150714,laurie,N2O,6,Control,0.023155983
37,20150723,laurie,CH4,1,Control,NA
38,20150723,laurie,CH4,2,Control,NA
39,20150723,laurie,CH4,3,Control,NA
40,20150723,laurie,CH4,4,Leach_field,NA
41,20150723,laurie,CH4,5,Leach_field,NA
42,20150723,laurie,CH4,6,Leach_field,NA
43,20150723,laurie,CO2,1,Control,NA
44,20150723,laurie,CO2,2,Control,NA
45,20150723,laurie,CO2,3,Control,NA
46,20150723,laurie,CO2,4,Leach_field,NA
47,20150723,laurie,CO2,5,Leach_field,NA
48,20150723,laurie,CO2,6,Leach_field,NA
49,20150723,laurie,N2O,1,Control,0.080308459
50,20150723,laurie,N2O,2,Control,0.117996987
51,20150723,laurie,N2O,3,Control,0.123480984
52,20150723,laurie,N2O,4,Leach_field,0.103525642
53,20150723,laurie,N2O,5,Leach_field,0.261613645
54,20150723,laurie,N2O,6,Leach_field,0.174235547
55,20150728,laurie,CH4,1,Leach_field,NA
56,20150728,laurie,CH4,2,Leach_field,NA
57,20150728,laurie,CH4,3,Leach_field,NA
58,20150728,laurie,CH4,4,Control,NA
59,20150728,laurie,CH4,5,Control,NA
60,20150728,laurie,CH4,6,Control,NA
61,20150728,laurie,CO2,1,Leach_field,NA
62,20150728,laurie,CO2,2,Leach_field,NA
63,20150728,laurie,CO2,3,Leach_field,NA
64,20150728,laurie,CO2,4,Control,NA
65,20150728,laurie,CO2,5,Control,NA
66,20150728,laurie,CO2,6,Control,NA
67,20150728,laurie,N2O,1,Leach_field,0.095902442
68,20150728,laurie,N2O,2,Leach_field,0.251413833
69,20150728,laurie,N2O,3,Leach_field,0.191398682
70,20150728,laurie,N2O,4,Control,0.069613724
71,20150728,laurie,N2O,5,Control,0.079244427
72,20150728,laurie,N2O,6,Control,0.029633487
